,concept_1,concept_2,concept_3,concept_4,concept_5,concept_6,concept_7,concept_8,concept_9,concept_10,concept_11,concept_12,concept_13,concept_14,concept_15,concept_16,concept_17,concept_18,concept_19,concept_20,concept_21,concept_22,concept_23,concept_24,concept_25,concept_26,concept_27,concept_28,concept_29,concept_30
123309.json,0.06860147081878092,-0.11906553803635495,-0.06361807706566525,-0.01016327665910661,0.033395546530099726,0.02039164627314423,-0.005086418226676873,-0.023296727616748263,0.030198236914660823,-0.04737485973699969,-0.008732414259694319,-0.02037962282667443,0.008026108289858346,-0.012141893904481121,-0.006468219988579327,0.11584253796982712,0.10601804917820493,-0.06929574745480109,-0.0060185676595894,0.00030731428238090874,-0.015465007196753332,0.0033465109125026143,-0.003949855826626442,-0.05691551565970904,-0.0403807285275942,-0.1118552336512121,-0.20174169185891278,-0.08849936958003737,0.08053545049142616,0.03851389735071305
125085.json,0.047371752504316876,-0.10413180274787978,-0.041875442232157015,0.02037693272586205,-0.0014028823393825941,0.02974181991864852,0.009113344267971987,0.02654377258910952,-0.042943278954948795,0.07100694331131985,-0.021173016265023697,0.0024645583441141997,0.0005508381448734753,0.04393745923386424,-0.03859187709208778,-0.11743471454264308,-0.008387516057892822,0.11908437466898582,-0.10358027541457143,0.12047415024421784,0.18495939733696493,-0.016159797842650026,0.2151211362208685,0.15798429243832315,-0.009101874732892475,0.4617472946292246,-0.22868125371977974,-0.24660273634488902,0.19098256514994902,0.40640737102972235
127170.json,0.05084385472587143,-0.11958508318842924,-0.0680530831991257,0.020613439315869352,-0.0093454432714767,0.001937604555545507,-0.039930131654050564,0.04400343781277598,-0.027070116652195088,0.04484482651198966,-0.026440673838697238,0.04834849879666343,-0.007301611993729618,0.020073159142571628,-0.013706232616687363,-0.20312465034465363,-0.05128939642990632,0.27982315437840655,0.15594443359198973,0.639138714554516,-0.29038987792651627,0.19224837603666284,0.17553029540073256,0.06903027536854987,0.007274289209816135,-0.3223942560263095,0.11530628318336195,-0.30404561492875964,0.02084783582430435,-0.0022806493118780547
131870.json,0.06247797082611928,-0.11172939523342691,-0.04418463353695602,0.03543539791125172,-0.008866960150750782,-0.017567329197153328,-0.03773353853796112,0.03125801668829253,0.02393196431043766,-0.052746789710720964,-0.008327742609130316,0.009288064253077637,0.032968021643960795,0.009301364844635026,-0.060415300278524715,0.022643165810035094,-0.27129835518573964,0.16128581779506884,0.08923607652466946,-0.14509591687079348,0.2490719681263667,0.5957607284753426,-0.2517245693541046,-0.27931394730583914,-0.22907330463490475,0.020334844701965685,0.25429484639487926,-0.015475926780480797,-0.03867613345532873,0.08348646586245684
145097.json,0.05137448082981249,-0.09197282170745365,-0.055043769478087194,0.005278138988213324,0.0032222039140408377,0.007816396765147674,-0.024615353221723445,-0.005261228433477714,0.026302013034930436,-0.03169754345002678,-0.0016433645046175286,0.019748544729103576,0.012008314285353155,-0.011768584472084228,-0.016720959607278072,0.09769612060356665,0.0960410512194739,-0.058813815239632104,-0.08620499212554042,0.051899551169632886,-0.03177335571836734,-0.039913108230154926,-0.13108553532315378,-0.025852870212189072,-0.0031693904425163354,-0.047717433088359226,-0.06364215092862852,-0.019789173410050844,-0.024198702417762834,-0.005011401920187749
153102.json,0.039705204906007055,-0.06087411534809873,-0.03147339693681448,-0.0015255228359362558,-0.0010816424258559387,0.006227481190083627,-0.01643506838170333,-0.011544903883880226,-0.0017597086613349387,-0.0012438725422728818,-0.014190184935602264,0.02340253359875041,0.012116842120493364,0.002637055794752247,-0.0036239844400397653,0.033103122307357576,0.03829009739865687,-0.02812432136899908,-0.010911661483451511,0.0020228620085028276,0.007829114788425302,-0.020409617943225274,0.02233044261569495,0.007425332916851239,0.023853954631307104,-0.017524406163725893,-0.02805445087368844,-0.03530690819321993,-0.030686632200278098,-0.013371825753216902
157344.json,0.029046909010880403,-0.061784596161669196,-0.036432781997571106,0.012345906483482057,0.004648290696057397,0.007112653296821999,-0.03116957534662885,0.012230324776430823,0.017391500628808298,0.004447109345350244,-0.04636131548984429,0.036703745116665305,0.001610070209533579,0.0016032796425572433,-0.004779086937962423,-0.049731534092492105,-0.007186870376896254,0.012739636714115814,0.00247168923610782,-0.0042399669697223905,0.0016551992418297808,0.02310208894518101,-0.014379385669821025,0.013509416990892913,0.023165307434697746,-0.0014108861214658407,-0.028190828845772654,0.0846046051062123,-0.004913074811477796,-0.03520578733438302
158382.json,0.049119025709613205,-0.08061454857817854,-0.03523659376295973,0.009867513933897709,0.01267069868524005,0.01857887742126257,-0.011003940750002503,-0.028057155427991285,0.013343373776232475,-0.048985647416451165,0.0109352487803455,-0.010296720807055524,0.012809315601427087,0.020690572328290288,0.008710314661300664,0.07477515371185323,0.16901300437161917,-0.050078044073755025,-0.07100287925831743,0.04398883932538256,-0.08685384693183067,-0.10325543877985398,-0.25361698553254,-0.1656127220520519,-0.07331299314342762,-0.0906860740031498,-0.15070371475079847,-0.1503959670863341,-0.18674654441260755,-0.012304371606935753
161063.json,0.025905942192441894,-0.05873180158547061,-0.03171700544182176,0.013273121493259772,0.013285133410382352,0.010640431906342387,-0.019510752310917492,0.006610404670725523,0.017037423349524423,0.009751302749917775,-0.0371276822860663,0.021754382299512535,0.0011484645204900162,-0.008476308863150877,-0.00548647288394899,-0.026686113536145147,0.0024069625640554195,-0.05592013453742282,0.015339176491525755,-0.0927416095135867,-0.007047064712366575,0.009825685433059339,0.03213759489727704,-0.008304768801376674,0.008150651805796029,-0.040263458699017214,-0.020250303034193444,-0.02796085326977308,-0.06452937101705661,0.034017363368025764
161695.json,0.04755761790425855,-0.08765697247009477,-0.04737661189645165,0.00954668494489851,0.0060851892362900175,0.009948125415587879,-0.04097022897342757,0.0014154369822315385,0.018160871828306755,-0.011507087675621306,-0.04236419106190742,0.032142352228844234,-0.004620139554518417,-0.019416035762576528,-0.008163726385945974,0.012056298549746793,0.07321048507506756,-0.06162523975720453,0.0051847889093603935,-0.05082566058011893,-0.02104747921283863,-0.03023570964707414,-0.0025944113231300848,-0.029743509852517426,-0.03760623307821477,-0.021675351840813026,-0.0360632884779575,-0.09839679889387717,0.012209165753467663,-0.07400806411912345
